Class,Gene,Encodings
aminoglycoside,bv97_05195,2
aminoglycoside,bw38_01803,2
aminoglycoside,c100_12680,2
aminoglycoside,ccna_03676,2
aminoglycoside,cf161_04258,2
aminoglycoside,cfii64_02016,2
aminoglycoside,cfnih1_06155,2
aminoglycoside,cfsan001590_08465,2
aminoglycoside,cfsan002050_14495,2
aminoglycoside,cimit_00695,2
aminoglycoside,cn09_03395,2
aminoglycoside,cn97_05115,2
aminoglycoside,cpaa,2
aminoglycoside,cseg_4049,2
aminoglycoside,cv017_21525,2
aminoglycoside,cv_0230,2
aminoglycoside,d088_840008,2
aminoglycoside,d584_07793,2
aminoglycoside,da83_06175,2
aminoglycoside,df40_017605,2
aminoglycoside,dk26_15510,2
aminoglycoside,dk27_19345,2
aminoglycoside,dm57_06980,2
aminoglycoside,dm82_4268,2
aminoglycoside,dp46_5212,2
aminoglycoside,dp49_2125,2
aminoglycoside,dr95_1104,2
aminoglycoside,dt74_22125,2
aminoglycoside,ectphs_02421,2
aminoglycoside,ers008437_00710,2
aminoglycoside,ers008531_02079,2
aminoglycoside,ers008727_00138,2
aminoglycoside,ers370000_04144,2
aminoglycoside,ers381432_03028,2
aminoglycoside,ers381446_03540,2
aminoglycoside,ers381490_00812,2
aminoglycoside,ey04_31830,2
aminoglycoside,f888_03237,2
aminoglycoside,f889_00437,2
aminoglycoside,f892_02745,2
aminoglycoside,f895_03213,2
aminoglycoside,f896_01059,2
aminoglycoside,f898_03662,2
aminoglycoside,f902_01455,2
aminoglycoside,f903_02786,2
aminoglycoside,f904_00426,2
aminoglycoside,f909_03665,2
aminoglycoside,f926_02644,2
aminoglycoside,f933_03220,2
aminoglycoside,f964_03251,2
aminoglycoside,f966_00106,2
aminoglycoside,f971_00085,2
aminoglycoside,f991_01542,2
aminoglycoside,fd63_13310,2
aminoglycoside,ff80_02028,2
aminoglycoside,fg93_03207,2
aminoglycoside,fg94_04780,2
aminoglycoside,fmro,2
aminoglycoside,g039_0303925,2
aminoglycoside,g155_25620,2
aminoglycoside,gbp346_b3039,2
aminoglycoside,gidb,2
aminoglycoside,gle_1155,2
aminoglycoside,grm,2
aminoglycoside,h009_22258,2
aminoglycoside,halo3509,2
aminoglycoside,hch_03105,2
aminoglycoside,hmpref1170_03087,2
aminoglycoside,hmpref9349_04665,2
aminoglycoside,hmpref9548_03739,2
aminoglycoside,hmpref9710_02755,2
aminoglycoside,in69_18810,2
aminoglycoside,ip83_02945,2
aminoglycoside,ip84_09695,2
aminoglycoside,ip85_04510,2
aminoglycoside,iq60_37615,2
aminoglycoside,iv02_07790,2
aminoglycoside,iv66_gl000803,2
aminoglycoside,j057_11761,2
aminoglycoside,j522_3133,2
aminoglycoside,j537_2225,2
aminoglycoside,j635_4357,2
aminoglycoside,j699_02921,2
aminoglycoside,jcm10914_123,2
aminoglycoside,jcm19038_3715,2
aminoglycoside,jh26_07980,2
aminoglycoside,ji76_37075,2
aminoglycoside,jl05_07470,2
aminoglycoside,jm66_13945,2
aminoglycoside,jn27_22530,2
aminoglycoside,jp75_11845,2
aminoglycoside,k531_00085,2
aminoglycoside,kamb,2
aminoglycoside,kanr,2
aminoglycoside,kdpe,2
aminoglycoside,konih1_14625,2
aminoglycoside,krm,2
aminoglycoside,ks18_22820,2
aminoglycoside,l287_02619,2
aminoglycoside,l360_04877,2
aminoglycoside,l360_04906,2
aminoglycoside,l360_05017,2
aminoglycoside,l681_07815,2
aminoglycoside,l901_16330,2
aminoglycoside,l904_09415,2
aminoglycoside,la66_00505,2
aminoglycoside,la66_17590,2
aminoglycoside,la76x_1534,2
aminoglycoside,lc55x_1285,2
aminoglycoside,lfa_2422,2
aminoglycoside,lfz48_07285,2
aminoglycoside,lg3211_1185,2
aminoglycoside,lha_1702,2
aminoglycoside,lmg16407_00540,2
aminoglycoside,ls69_04805,2
aminoglycoside,ls81_08155,2
aminoglycoside,ltseala_2290,2
aminoglycoside,ltsebai_2519,2
aminoglycoside,ltsegiv_2167,2
aminoglycoside,ltseinv_2403,2
aminoglycoside,ltsemis_2197,2
aminoglycoside,ltsesen_2493,2
aminoglycoside,ltseurb_2311,2
aminoglycoside,lw14_04385,2
aminoglycoside,m001_13480,2
aminoglycoside,m670_04457,2
aminoglycoside,mb84_23135,2
aminoglycoside,med297_13282,2
aminoglycoside,meg1draft_00859,2
aminoglycoside,miclodraft_00068420,2
aminoglycoside,mmwyl1_0154,2
aminoglycoside,mprf,2
aminoglycoside,n182_21955,2
aminoglycoside,n183_18725,2
aminoglycoside,n184_17645,2
aminoglycoside,n185_34800,2
aminoglycoside,n783_03805,2
aminoglycoside,neimucot_06662,2
aminoglycoside,neo,2
aminoglycoside,neo_2,2
aminoglycoside,neo_3,2
aminoglycoside,ni25_18235,2
aminoglycoside,npma,2
aminoglycoside,ns258_08635,2
aminoglycoside,ns319_00625,2
aminoglycoside,o166_18240,2
aminoglycoside,o206_06725,2
aminoglycoside,o59_002518,2
aminoglycoside,p308_30500,2
aminoglycoside,parc,2
aminoglycoside,pj15_2890,2
aminoglycoside,pj20_20795,2
aminoglycoside,pmi03_00650,2
aminoglycoside,pmi20_02731,2
aminoglycoside,pmi32_04857,2
aminoglycoside,pmi33_05772,2
aminoglycoside,prax_0051,2
aminoglycoside,prio_2416,2
aminoglycoside,provalcal_00921,2
aminoglycoside,provrett_07612,2
aminoglycoside,pseen3982,2
aminoglycoside,psesu_0777,2
aminoglycoside,pvrr,2
aminoglycoside,pz61_34665,2
aminoglycoside,pz78_10490,2
aminoglycoside,q644_14880,2
aminoglycoside,qq25_05210,2
aminoglycoside,qq44_03550,2
aminoglycoside,qw71_31235,2
aminoglycoside,r70331_17715,2
aminoglycoside,rccge510_19333,2
aminoglycoside,rgccge502_01971,2
aminoglycoside,rgr602_pc02196,2
aminoglycoside,rhsp_08625,2
aminoglycoside,rleg10draft_4261,2
aminoglycoside,rleg2_2923,2
aminoglycoside,rleg4draft_4114,2
aminoglycoside,rleg9draft_6255,2
aminoglycoside,rmcfa_6206,2
aminoglycoside,rmta,2
aminoglycoside,rmtb,2
aminoglycoside,rmtc,2
aminoglycoside,rmtd,2
aminoglycoside,rmtf,2
aminoglycoside,rmtg,2
aminoglycoside,rmth,2
aminoglycoside,ro07_02130,2
aminoglycoside,ro22_05705,2
aminoglycoside,rp75_23205,2
aminoglycoside,rpsl,2
aminoglycoside,rrh01s_07_00240,2
aminoglycoside,rs75_08215,2
aminoglycoside,rtciat899_ch00745,2
aminoglycoside,saccydraft_2173,2
aminoglycoside,sact1_0352,2
aminoglycoside,sala_0666,2
aminoglycoside,samn02745223_02496,2
aminoglycoside,sat,2
aminoglycoside,sb4_14720,2
aminoglycoside,sbi_00203,2
aminoglycoside,seenin0b_01578,2
aminoglycoside,seet0819_14790,2
aminoglycoside,seho0a_01569,2
aminoglycoside,sei61121_11461,2
aminoglycoside,seka_a1070,2
aminoglycoside,sesa_a1736,2
aminoglycoside,sfhh103_00187,2
aminoglycoside,sg34_20990,2
aminoglycoside,sg9_1532,2
aminoglycoside,sgm,2
aminoglycoside,sk35_04809,2
aminoglycoside,sle_16300,2
aminoglycoside,smal_1717,2
aminoglycoside,smdb11_3538,2
aminoglycoside,smed_0125,2
aminoglycoside,spc_2116,2
aminoglycoside,spd,2
aminoglycoside,sros_3941,2
aminoglycoside,sse37_15566,2
aminoglycoside,ssud12_1342,2
aminoglycoside,stm14_1958,2
aminoglycoside,str,2
aminoglycoside,stra,2
aminoglycoside,strntr1_0556,2
aminoglycoside,strntr1_2718,2
aminoglycoside,sy87_28445,2
aminoglycoside,sy94_2150,2
aminoglycoside,sz54_3010,2
aminoglycoside,t458_13365,2
aminoglycoside,t630_4108,2
aminoglycoside,teh_23880,2
aminoglycoside,tlya,2
aminoglycoside,tm63_04555,2
aminoglycoside,to66_29130,2
aminoglycoside,tpa0598_07_06890,2
aminoglycoside,tq38_01765,2
aminoglycoside,tq38_26290,2
aminoglycoside,tu94_25875,2
aminoglycoside,u769_04250,2
aminoglycoside,ub43_11210,2
aminoglycoside,un86_29535,2
aminoglycoside,uq64_03725,2
