group,variable,value
QnrB1,PM138,0
QnrB1-like,PM138,24
QnrB66-like,PM138,0
QnrS1,PM138,0
aac(3)-IIa-like,PM138,0
aac(6')-Ib-like,PM138,0
aac(6')Ib-cr,PM138,0
aac(6')Ib-cr-like,PM138,2
aacA4-like,PM138,2
aadA1,PM138,0
aadA2,PM138,0
aadA2-like,PM138,0
aph(3')-VIa-like,PM138,0
armA,PM138,0
armA-like,PM138,0
blaCTX-M-15,PM138,0
blaCTX-M-15-like,PM138,4
blaLEN12-like,PM138,0
blaNDM-1,PM138,0
blaNDM-7-like,PM138,0
blaOXA-1,PM138,0
blaOXA-232,PM138,4
blaOXA-232-like,PM138,0
blaOXA-9-like,PM138,0
blaSHV-1-like,PM138,0
blaSHV-11,PM138,0
blaSHV-11-like,PM138,4
blaSHV-28,PM138,0
blaSHV-28-like,PM138,0
blaTEM-1B,PM138,4
catA1-like,PM138,0
catB3-like,PM138,0
dfrA1,PM138,0
dfrA12,PM138,0
dfrA14-like,PM138,0
erm(B)-like,PM138,0
fosA-like,PM138,9
mph(A)-like,PM138,0
mph(E),PM138,0
mph(E)-like,PM138,0
msr(E),PM138,0
oqxA-like,PM138,0
oqxB-like,PM138,0
rmtf,PM138,0
rmtf-like,PM138,2
strA,PM138,2
strB,PM138,34
sul1,PM138,0
sul1-like,PM138,0
sul2,PM138,27
tet(D),PM138,0
ARR-2,PM1842,25
QnrB1,PM1842,24
QnrB1-like,PM1842,0
QnrB66-like,PM1842,0
QnrS1,PM1842,0
aac(3)-IIa-like,PM1842,0
aac(6')-Ib-like,PM1842,0
aac(6')Ib-cr,PM1842,0
aac(6')Ib-cr-like,PM1842,2
aacA4-like,PM1842,2
aadA1,PM1842,0
aadA2,PM1842,0
aadA2-like,PM1842,0
aph(3')-VIa-like,PM1842,0
armA,PM1842,0
armA-like,PM1842,0
blaCTX-M-15,PM1842,4
blaCTX-M-15-like,PM1842,0
blaLEN12-like,PM1842,0
blaNDM-1,PM1842,0
blaNDM-7-like,PM1842,0
blaOXA-1,PM1842,0
blaOXA-232,PM1842,4
blaOXA-232-like,PM1842,0
blaOXA-9-like,PM1842,0
blaSHV-1-like,PM1842,0
blaSHV-11,PM1842,4
blaSHV-11-like,PM1842,0
blaSHV-28,PM1842,0
blaSHV-28-like,PM1842,0
blaTEM-1B,PM1842,4
catA1-like,PM1842,0
catB3-like,PM1842,0
dfrA1,PM1842,0
dfrA12,PM1842,0
dfrA14-like,PM1842,0
erm(B)-like,PM1842,0
fosA-like,PM1842,9
mph(A)-like,PM1842,0
mph(E),PM1842,0
mph(E)-like,PM1842,0
msr(E),PM1842,0
oqxA-like,PM1842,0
oqxB-like,PM1842,0
rmtf,PM1842,2
rmtf-like,PM1842,0
strA,PM1842,2
strB,PM1842,34
sul1,PM1842,0
sul1-like,PM1842,0
sul2,PM1842,27
tet(D),PM1842,0
ARR-2,PM1995,25
QnrB1,PM1995,24
QnrB1-like,PM1995,0
QnrB66-like,PM1995,0
QnrS1,PM1995,0
aac(3)-IIa-like,PM1995,0
aac(6')-Ib-like,PM1995,0
aac(6')Ib-cr,PM1995,0
aac(6')Ib-cr-like,PM1995,2
aacA4-like,PM1995,2
aadA1,PM1995,0
aadA2,PM1995,0
aadA2-like,PM1995,0
aph(3')-VIa-like,PM1995,0
armA,PM1995,0
armA-like,PM1995,0
blaCTX-M-15,PM1995,4
blaCTX-M-15-like,PM1995,0
blaLEN12-like,PM1995,4
blaNDM-1,PM1995,0
blaNDM-7-like,PM1995,0
blaOXA-1,PM1995,0
blaOXA-232,PM1995,0
blaOXA-232-like,PM1995,0
blaOXA-9-like,PM1995,0
blaSHV-1-like,PM1995,0
blaSHV-11,PM1995,0
blaSHV-11-like,PM1995,0
blaSHV-28,PM1995,0
blaSHV-28-like,PM1995,0
blaTEM-1B,PM1995,4
catA1-like,PM1995,0
catB3-like,PM1995,0
dfrA1,PM1995,0
dfrA12,PM1995,0
dfrA14-like,PM1995,0
erm(B)-like,PM1995,0
fosA-like,PM1995,9
mph(A)-like,PM1995,0
mph(E),PM1995,0
mph(E)-like,PM1995,0
msr(E),PM1995,0
oqxA-like,PM1995,0
oqxB-like,PM1995,0
rmtf,PM1995,0
rmtf-like,PM1995,2
strA,PM1995,2
strB,PM1995,34
sul1,PM1995,0
sul1-like,PM1995,0
sul2,PM1995,27
tet(D),PM1995,0
ARR-2,PM5186,25
QnrB1,PM5186,0
QnrB1-like,PM5186,0
QnrB66-like,PM5186,0
QnrS1,PM5186,0
aac(3)-IIa-like,PM5186,0
aac(6')-Ib-like,PM5186,0
aac(6')Ib-cr,PM5186,0
aac(6')Ib-cr-like,PM5186,2
aacA4-like,PM5186,2
aadA1,PM5186,0
aadA2,PM5186,2
aadA2-like,PM5186,0
aph(3')-VIa-like,PM5186,0
armA,PM5186,0
armA-like,PM5186,0
blaCTX-M-15,PM5186,0
blaCTX-M-15-like,PM5186,4
blaLEN12-like,PM5186,0
blaNDM-1,PM5186,0
blaNDM-7-like,PM5186,0
blaOXA-1,PM5186,0
blaOXA-232,PM5186,0
blaOXA-232-like,PM5186,0
blaOXA-9-like,PM5186,0
blaSHV-1-like,PM5186,4
blaSHV-11,PM5186,0
blaSHV-11-like,PM5186,0
blaSHV-28,PM5186,0
blaSHV-28-like,PM5186,0
blaTEM-1B,PM5186,4
catA1-like,PM5186,6
catB3-like,PM5186,0
dfrA1,PM5186,0
dfrA12,PM5186,32
dfrA14-like,PM5186,0
erm(B)-like,PM5186,15
fosA-like,PM5186,9
mph(A)-like,PM5186,15
mph(E),PM5186,0
mph(E)-like,PM5186,0
msr(E),PM5186,0
oqxA-like,PM5186,24
oqxB-like,PM5186,24
rmtf,PM5186,0
rmtf-like,PM5186,2
strA,PM5186,0
strB,PM5186,0
sul1,PM5186,0
sul1-like,PM5186,27
sul2,PM5186,0
tet(D),PM5186,0
ARR-2,PM565,25
QnrB1,PM565,0
QnrB1-like,PM565,24
QnrB66-like,PM565,0
QnrS1,PM565,0
aac(3)-IIa-like,PM565,0
aac(6')-Ib-like,PM565,0
aac(6')Ib-cr,PM565,0
